company,url,description,industry,country,total_funding_m,all_people,all_investors,your_collections,team_tag,expert_collections,esp,company_status,company_id,organization_id,founded_year,competitors,subsidiaries,parent_company,continent,state,city,street,zip_code,latest_funding_round,latest_funding_date,latest_funding_amount_m,latest_funding_simplified_round,latest_funding_investors,market_cap_m,stock_price_dollars,latest_revenue_min_m,latest_revenue_max_m,revenue_time_period,stock_price_1_week_percent_change,latest_revenue_multiple_min,latest_revenue_multiple_max,sector,sub_industry,latest_exit_round,date_of_exit,acquirer,vc_backed
Diamond Standard,diamondstandard.co,"Diamond Standard produces diamond commodities and develops technology for diamond market-maker and commodity producers. It focuses on the potential of natural diamonds as a hard asset for investors, like gold, silver, and platinum. The platform transacts diamonds digitally using an integrated blockchain token. It was formerly known as BitCarbon Inc. and changed its name to Diamond Standard Ltd. The company was founded in 2018 and is based in New York, New York.",Internet Software & Services,United States,54.08,"Cormac Kinney (Founder), James Campbell (CFO), Rajiv Sohal (CTO), Christopher Dessi (Chief Revenue Officer), Corey Reason (Chief Compliance Officer)","Gaingels, Horizon Kinetics, Left Lane Capital, Republic",,,Blockchain,,Alive / Active,618299,721292,2018,,,,North America,New York,New York,565 5th Avenue Floor 14,10017,Series A - II,2022-09-14,30.00,Series A,"Gaingels, Horizon Kinetics, Left Lane Capital, Republic",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Fractal Blockchain,trustfractal.com,Fractal Blockchain aims to decentralize equity markets using the Blockchain technology. Fractal builds user-centric and compliant identity and payment solutions for the decentralized web and supports open source blockchain projects to fund the future ecosystem using an initial token launch.,Internet Software & Services,Germany,3.00,"Julio Santos (Founder), Nele Wollert (Founder), Lukas Hermanns (COO)","Financial Conduct Authority, Coparion, Future Energy Ventures",,,"Blockchain, Fintech",,Alive / Active,335840,45293,2017,,,,Europe,,Berlin,Akazienstraße 3a,1082,Seed VC,2018-08-30,3.00,Seed VC,"Coparion, Future Energy Ventures",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Blockware Solutions,blockwaresolutions.com,Blockware Solutions is a blockchain infrastructure company and network advisory firm. Blockware Solutions assists clients with the acquisition & sale of mining rigs direct from foreign manufacturers and through trusted Peer-to-Peer channels.,IT Services,United States,31.25,"Sam Chwarzynski (Founder), Mason Jappa (Founder)",,,,Blockchain,,Alive / Active,428894,516110,2017,,,,North America,Illinois,Chicago,141 W. Jackson Blvd Suite 1404,60604,Series A,2021-06-30,25.00,Series A,Undisclosed Investors,,,,,,,,,Computer Hardware & Services,Infrastructure & Hosting,,,,No
Animoca Brands KK,animocabrands.co.jp,"Animoca Brands KK is building a platform based on blockchain technology to enable intellectual property (IP) holders in Japan to build and expand fan communities via the issue of their own NFTs and fungible tokens and participation in the broader Web3 ecosystem. Animoca Brands KK will work with global professionals to help Japanese IP holders branch out into international markets. The company was founded in 2021 and is based in Fukuoka, Japan.",Internet Software & Services,Japan,55.00,,"Animoca Brands, MCP Asset Management, Bank of Tokyo-Mitsubishi UFJ",,,Blockchain,,Alive / Active,713146,832650,2021,,,Animoca Brands,Asia,,Fukuoka,"2-6-11 Daimyo, Chuo-ku",162-0844,Seed - II,2022-08-26,45.00,Seed,"Animoca Brands, Bank of Tokyo-Mitsubishi UFJ",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,No
Faraway,faraway.gg,Faraway is a gaming studio that leverages blockchain technology to unlock the potential for truly player-driven and decentralized game economies.,Internet Software & Services,United States,29.00,"Alex Paley (Founder), Dennis Zdonov (Founder)","Andreessen Horowitz, Jump Capital, Lightspeed Venture Partners, Pantera Capital, Sequoia Capital, Solana Capital, FTX, Solana Ventures",,,"Blockchain, Gaming",,Alive / Active,689044,803466,2021,,,,North America,Florida,Miami,,,Series A,2021-11-04,21.00,Series A,"Andreessen Horowitz, FTX, Jump Capital, Lightspeed Venture Partners, Pantera Capital, Sequoia Capital, Solana Ventures",,,,,,,,,Internet,Gaming,,,,Yes
Horizen Labs,horizenlabs.io,"Horizen Labs is a blockchain-based technology company developing programmable, fully customizable blockchains.",Internet Software & Services,United States,11.00,"Liat Aaronson (Founder), Robert Viglione (Founder), Dean Steinbeck (Founder)","Artist Capital, Deribit, Deus, Digital Currency Group, Kenetic Capital, Liberty City Ventures, LionTree Partners, Sound Ventures",,,Blockchain,,Alive / Active,666788,776478,2019,,,,North America,Texas,Austin,501 Congress Ave Suite 150,78701,Seed VC - II,2021-08-10,7.00,Seed VC,"Artist Capital, Deribit, Deus, Digital Currency Group, Kenetic Capital, Liberty City Ventures, LionTree Partners, Sound Ventures",,,,,,,,,Internet,Science & Engineering,,,,Yes
Blockchain Technology Partners,blockchaintp.com,"Blockchain Technology Partners simplifies the deployment and management of distributed ledgers, blockchain and smart contract infrastructure.",Internet Software & Services,United Kingdom,2.80,"Hugh Sutherland (Founder), Kevin O`Donnell (Founder), Oliver J (Founder), Duncan Johnston-Watt (Founder)","Aberdeen Asset Management, Andrew Laing, Force Over Mass Capital, Martin Gilbert, Signature Ventures, Paul Forrest",,,Blockchain,,Alive / Active,462048,548334,2018,,,,Europe,Scotland,Midlothian,38 Castle Terrace,EH3 9DZ,Seed VC,2021-07-15,2.80,Seed VC,"Andrew Laing, Force Over Mass Capital, Martin Gilbert, Signature Ventures",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Valora,valoraapp.com,Valora is a mobile-first crypto wallet that is available on both iOS and Android devices and aims to make blockchain accessible.,Mobile Software & Services,United States,20.00,"Jackie Bona (CEO), Marek Olszewski (President), Silas Boyd-Wickizer (CTO)","Andre Iguodala, Andreessen Horowitz, Casey Neistat, Combs Enterprises, Larry Fitzgerald, Melo7 Tech Partners, NFX, Nasir Jones, Nima Capital, Polychain Capital, Quincy Jones, SV Angel, Thirty Five Ventures, Valor Capital, Celo",,,Blockchain,,Alive / Active,661338,770406,2021,,,,North America,California,San Francisco,,,Series A,2021-07-27,20.00,Series A,"Andre Iguodala, Andreessen Horowitz, Casey Neistat, Combs Enterprises, Larry Fitzgerald, Melo7 Tech Partners, NFX, Nasir Jones, Nima Capital, Polychain Capital, Quincy Jones, SV Angel, Thirty Five Ventures, Undisclosed Angel Investors, Valor Capital",,,,,,,,,Mobile & Telecommunications,Accounting & Finance,Spinoff / Spinout,,Celo,Yes
8BTC,8btc.com,"8BTC (巴比特) is a bitcoin, blockchain, and cryptocurrency news platform.",Internet Software & Services,China,16.00,"Zhipeng Liu (CEO), Xinxing Duan (President)","Bitmain Technologies, Funcity Capital, Puhua Capital, QF Capital",,,Blockchain,,Alive / Active,318139,6815,,,,,Asia,Zhejiang ,Hangzhou,Xihu District,310012,Series A,2018-03-02,16.00,Series A,"Bitmain Technologies, Funcity Capital, Puhua Capital, QF Capital",,,,,,,,,Internet,News & Discussion,,,,Yes
Merkle Science,merklescience.com,"Merkle Science seeks to promote the ideology of blockchain by enabling stakeholders in the ecosystem to detect and prevent criminal activity and financial crime. It provides the infrastructure to help blockchain companies, crypto-exchanges, investment funds, banks, and regulators perform due diligence on the blockchain. Merkle Science was founded in 2018 and is based in Singapore.",Internet Software & Services,Singapore,25.55,"Mriganka Pattnaik (CEO), Nirmal AK (CTO), Fernando Castellanos (Chief Revenue Officer)","Digital Currency Group, Entrepreneur First, Kenetic Capital, LuneX Ventures, SGInnovate, F10 FinTech Incubator & Accelerator, Lloyd's Lab, Darrow Holdings, Fenbushi Capital, Kraken Ventures, Token Bay Capital, Uncorrelated Ventures, 500 Global, Aspen Digital, BECO Capital, CoinHako, HashKey Capital, K3 Ventures, Libertus Capital, Lucy Gazmararian, Republic, Summer Capital",,,"Regtech, Blockchain, Fintech","Crypto Compliance & Transaction Monitoring (Financial Services), Crypto Compliance & Transaction Monitoring (Financial Services)",Alive / Active,385875,457478,2018,"Chainalysis, CipherTrace, Coinfirm, Elliptic, Scorechain, Solidus Labs, TRM Labs",,,Asia,,,6 Raffles Quay #11-07,048580,Series A - II,2022-08-09,19.00,Series A,"500 Global, Aspen Digital, BECO Capital, CoinHako, Darrow Holdings, Digital Currency Group, Fenbushi Capital, HashKey Capital, K3 Ventures, Kenetic Capital, Kraken Ventures, Libertus Capital, Lucy Gazmararian, Republic, Summer Capital, Uncorrelated Ventures",,,,,,,,,Internet,Monitoring & Security,,,,Yes
Chain,chain.com,"Chain helps developers build apps by providing streamlined access to the blockchain via its Chain Nodes and API. One of its focuses is on linking blockchain data in real-time. By compiling and indexing blockchain data, other developers can ""build bitcoin apps, not block chain infrastructure."" The company also operates Albumatic, a group photo sharing app, which allows friends to join albums and add photos if nearby.",Internet Software & Services,United States,43.70,,"Betaworks, BoxGroup, Digital Currency Group, High Line Venture Partners, RRE Ventures, SV Angel, Thrive Capital, Tuesday Capital, 500 Global, Blockchain Capital, Homebrew, Kevin Ryan, Khosla Ventures, Pantera Capital, Scott Banister, Capital One Ventures, Citi Ventures, Fiserv, NASDAQ, Orange Digital Ventures, Visa Ventures, Bank of England Accelerator, Stellar",,,"Blockchain, Fintech 250, Fintech",,Acquired,87862,18568,2014,"Instagram, PATH, picplz, Pixable, Tapshare",Measurable Data Token,Stellar,North America,California,San Francisco,292 Ivy Street Unit E,94102,Incubator/Accelerator,2017-10-06,,Incubator,Bank of England Accelerator,,,,,,,,,Internet,Application & Data Integration,Acquired,2018-06-25,Stellar,Yes
Blockchain Studio,blockchain-studio.com,"Blockchain Studio offers customer tools to help apply blockchain technology in their businesses without being limited by technical skills. The Blockchain Studio enables staff of an organization to model a process, automatically generate and deploy the corresponding smartcontract on the Blockchain and test it through web interfaces.",Internet Software & Services,France,2.20,Corentin Denoeud (CEO),ENGIE New Ventures,,,Blockchain,,Alive / Active,347118,405817,,,,,Europe,,Neuilly-sur-Seine,8 Place du Marche,92 200,Seed VC,2018-09-07,2.20,Seed VC,ENGIE New Ventures,,,,,,,,,Internet,Web Development,,,,Yes
RNDR,rendertoken.com,"RNDR is a token-based render network that transforms the power of GPU compute into a decentralized economy of connected 3D assets. The company distributes the framework of the existing rendering service using RNDR, a digital token built on the Ethereum blockchain.",Internet Software & Services,United States,30.00,"Jules Urbach (Founder), Charlie Wallace (CTO)","SPiCE VC, Alameda Research Ventures, Bill Lee, Multicoin Capital, Sfermion, Solana Foundation, Vinny Lingham",,,Blockchain,,Alive / Active,565385,662476,,,,,North America,California,Los Angeles,1010 Wilshire Blvd Suite 1604,90017,Series A,2021-12-21,30.00,Series A,"Alameda Research Ventures, Bill Lee, Multicoin Capital, Sfermion, Solana Foundation, Vinny Lingham",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
HOTchain,hotchain.vip,"HOTchain (热度链) is a global culture, sports, and entertainment digital asset trading platform based on blockchain technology. The company offers celebrity interactive services, collectively referred to as celebrity time merchandise. HOTchain is committed to achieving digital assetization, securitization, transparency and fairness in the global culture, sports and entertainment industry. It optimizes the market elements (celebrities, IP, resources, etc.) through blockchain technology and applications.",E-Commerce,China,23.67,,"Arrival Capital, Bitcoin Faith, FBTC, Genesis Wealth Management, IBT Capital, IPT Chain, QTUM, Quantum Capital",,,Blockchain,,Alive / Active,314750,69083,,,,,Asia,,,,,Seed VC,2018-01-29,23.67,Seed VC,"Arrival Capital, Bitcoin Faith, FBTC, Genesis Wealth Management, IBT Capital, IPT Chain, QTUM, Quantum Capital",,,,,,,,,Internet,Marketplace,,,,Yes
Aave,aave.com,"Aave provides blockchain, fintech, cryptocurrency, smart contracts, finance, lending, technology, payments, and custodial service. It is based in London, England.",Asset & Financial Management & Trading Software,United Kingdom,32.50,"Stani Kulechov (CEO), Peter Kerr (CFO), Nicole Butler (Chief Compliance Officer)","ParaFi Capital, Framework Ventures, Three Arrows Capital, Blockchain Capital, Blockchain.com, Standard Crypto, Visary Capital",,,"Blockchain, Digital Lending, Fintech, Blockchain 50",,Alive / Active,456659,542608,2017,"Ontology, Parallel Finance, Primex Finance, SmartCredit.io",,,Europe,England,London,41 Corsham Street,"6DR, GB",Series A,2020-10-12,25.00,Series A,"Blockchain Capital, Blockchain.com, Standard Crypto, Undisclosed Investors",,,,,,,,,Software (non-internet/mobile),,,,,Yes
Genesis Digital Assets,genesisdigitalassets.com,Genesis Digital Assets is an industrial-scale Bitcoin mining company.,Internet Software & Services,United States,556.00,"Abdumalik Mirakhmedov (Founder), Marco Streng (CEO), Andrey Kim (COO), Philip Salter (CTO), Marco Krohn (Chief Security Officer)","Kingsway Capital Partners, Electric Capital, FTX, NYDIG, Paradigm, Ribbit Capital, SkyBridge Capital, Stoneridge, Winter Capital",,,Blockchain,,Alive / Active,661814,770921,2021,,,,North America,New York,New York,,,Series A,2021-09-21,431.00,Series A,"Electric Capital, FTX, Kingsway Capital Partners, NYDIG, Paradigm, Ribbit Capital, SkyBridge Capital, Stoneridge, Winter Capital",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Tech Bureau,techbureau.jp,"Tech Bureau operates Comsa, a one-stop solution for Japanese companies seeking ICO funding. Cosma provides consultation and solutions that help companies to integrate blockchain technology into their business practices.",Application & Data Integration Software,Japan,24.12,"Takao Asayama (CEO), Ryosuke Hosoi (CTO), Mitsutoshi Fukunaga (Chief Marketing Officer), Tsubasa Kurose (EVP)","Asteria, JAFCO, Nippon Technology Venture Partners, Arara, FISCO, Hiroshima Venture Capital, Money Partners Group, OKWAVE, Shinsei Bank",,,Blockchain,,Alive / Active,297911,136505,2014,,,,Asia,,Osaka,"1-5-18 Utsuhonmachi, Nishi-ku Mifune Honmachi Building 10F",550-0004,Series B - II,2017-11-02,0.77,Series B,"OKWAVE, Shinsei Bank",,,,,,,,,Software (non-internet/mobile),,,,,Yes
HonorSQL,honorsql.com,HonorSQL (荣客区块链) is an enterprise blockchain service provider.,Internet Software & Services,China,14.51,,,,,Blockchain,,Alive / Active,353881,414700,,,,,Asia,Zhejiang ,Wenzhou,"Room 1902, Building B1, Daziran Business Building Lucheng District",,Series A,2018-10-11,14.51,Series A,Undisclosed Investors,,,,,,,,,Internet,,,,,No
Coin Operated Games,,"Coin Operated Games acquires, invests and incubates next-generation games using blockchain and cryptocurrency technologies.",Internet Software & Services,United States,23.10,,,,,"Blockchain, Gaming",,Alive / Active,436678,523502,,,,,North America,California,Los Angeles,10401 Venice Blvd #732,90034,Unattributed - II,2021-05-07,15.10,Undisclosed,Undisclosed Investors,,,0.000001,1.000000,FY 2019,,,,Internet,Gaming,,,,No
Layer One,layer1.capital,"Layer1 is a crypto asset investment and infrastructure platform based in San Francisco, CA. Layer1 takes concentrated bets on promising blockchain protocols and builds critical technology to support their global impact. Layer1 invests in crypto assets that focus on becoming programmable money with the potential for massive value creation.",Internet Software & Services,United States,52.10,,"Digital Currency Group, Jeffrey Tarrant, Peter Thiel, Shasta Ventures",,,"Blockchain, Fintech",,Alive / Active,364625,429132,2018,Blockstream,,,North America,California,San Francisco,444 Scott Street,94117,Series A,2019-10-15,50.00,Series A,"Peter Thiel, Shasta Ventures",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
